Name;Team;Competition;Nationality;Age;Primary Position;Secondary Position;Minutes Played;finishing;dribbling;passing;creation;defending;pressing;overall;overall_global;overall_league_adjusted
Jakob Jantscher;Sturm Graz;Bundesliga;Austria;32;Left Centre Forward;Right Centre Forward;2567,6836;26,78189536;20,24111087;40,42061839;30,64357862;26,73868793;36,32020762;45,18908779;43,73448948;27,61502902
Aleksandar Mitrović;Fulham;Premier League;Serbia;26;Centre Forward;Left Centre Forward;1540,8502;10,26827683;32,31716999;38,02842282;27,17921071;25,79636501;37,19469645;41,75364064;43,72591659;46,01602647
Salvador Agra;Tondela;Primeira Liga;Portugal;29;Left Wing;Right Wing;2402,2002;15,68520704;39,57268578;36,30579669;16,24645265;22,49470786;36,22815743;45,87111749;43,7112332;41,40051665
Admiral Muskwe;Wycombe Wanderers;Championship;Zimbabwe;22;Left Wing;Right Centre Forward;1149,2999;28,71228837;38,53969289;25,46606192;3,774292879;43,86956389;25,29031843;47,59237445;43,66878802;39,06251996
Nuno Da Costa;Royal Excel Mouscron;Jupiler Pro League;Cape Verde Islands;30;Centre Forward;Right Centre Forward;2227,8833;25,92914743;45,69496129;24,45506968;13,3098385;24,90278995;29,18155613;51,4067369;43,65621106;32,15986912
Mamadou Sylla;Girona;La Liga 2;Senegal;27;Left Centre Forward;Centre Forward;3130,8171;37,2546271;25,28129851;24,62677874;29,41106059;31,80112408;31,74108388;50,23054471;43,64576056;32,15217064
Douglas Tanque;Paços de Ferreira;Primeira Liga;Brazil;27;Centre Forward;Left Centre Forward;2586,9333;22,7765015;39,11620381;24,46992864;8,523195344;35,24515074;41,03197252;46,70624453;43,63628317;41,32952872
Pablo de Blasis;FC Cartagena;La Liga 2;Argentina;33;Right Midfielder;Left Centre Forward;1827,1167;11,0752855;21,52992103;39,76422904;22,29149799;34,66529367;50,93018461;37,26002341;43,60704135;32,12364767
Gorka Guruzeta;Sabadell;La Liga 2;Spain;24;Centre Forward;Left Centre Forward;2300,8665;13,96246907;31,50993658;28,20874092;8,645723263;33,06083335;62,4202121;40,39538634;43,60463216;32,12187291
David Abraham;Eintracht Frankfurt;1. Bundesliga;Argentina;34;Right Centre Back;Centre Forward;1286,5499;24,7083076;18,58378409;38,63951379;5,7764158;56,69454977;33,72648757;38,64962705;43,60138888;39,00223022
Simon Banza;Lens;Ligue 1;France;24;Left Centre Forward;Right Centre Forward;1479,1334;28,92425161;30,64983629;35,48950203;13,29254497;22,51510059;35,19425193;47,09068746;43,57833228;41,2746413
